detention_facility_code,name,state,start,end,place,type
BAKERFL,Baker County Sheriff Dept.,FL,11,201,"Macclenny, FL",Non-dedicated
BKLHOLD,Bakerfield Hold,CA,0,201,"Bakersfield, CA",Hold / Staging
BALHOLD,Bal D D & P,MD,0,201,"Baltimore, MD",Hold / Staging
BALDWAL,Baldwin County Cor. Center,AL,30,198,"Bay Minette, AL",Non-dedicated
BIMDCAZ,Banner Ironwood Med Ctr,AZ,174,201,"Queen Creek, AZ",Medical
BNMCTAZ,Banner Medical Ctr Tucson,AZ,178,185,"Tucson, AZ",Medical
BANHOAZ,Banner University Medical Phoenix,AZ,194,201,"Phoenix, AZ",Medical
BANNOID,Bannock County Jail,ID,0,24,"Pocatello, ID",Federal
BMCSATX,Baptist Medical Center,TX,173,201,"San Antonio, TX",Medical
BARNSMA,Barnstable County,MA,42,169,"Barnstable, MA",Non-dedicated
BARRECA,Barrett Honor Camp,CA,11,48,"Alpine, CA",Family / Youth
BARTOGA,Bartow Co Jail,GA,166,196,"Cartersville, GA",Other / Unknown
BASILLA,Basile Detention Center,LA,0,201,"Basile, LA",Dedicated
CMDHOLD,Batavia Command Center Holdroom,NY,166,196,"Batavia, NY",Hold / Staging
BAYCOFL,Bay County,FL,195,197,"Panama City, FL",Other / Unknown
BAYAMPR,Bayamon Hospital,PR,101,201,"Bayamon, PR",Medical
BSTAYTX,Baylor Scott White Md Ctr,TX,178,200,"Dallas, TX",Medical
BSWRRTX,Baylor Scott White Med RR,TX,177,193,"Round Rock, TX",Medical
BEAVRPA,Beaver County Jail,PA,106,176,"Aliquippa, PA",Federal
BEDCITX,Bedford City Jail,TX,0,154,"Bedford, TX",Non-dedicated
BEDFOPA,Bedford County Jail,PA,0,15,"Bedford, PA",Non-dedicated
BEDFOOH,Bedford Heights City,OH,0,79,"Bedford Heights, OH",Non-dedicated
BELCOTX,Bell County Jail,TX,145,201,"Belton, TX",Non-dedicated
BEHOSNY,"Bellevue Hospital, Manhat",NY,68,133,"New York, NY",Medical
BLHHOLD,Bellingham BPS ERO Holdroom,WA,89,170,"Ferndale, WA",Hold / Staging
BELMOOH,Belmont County Jail,OH,139,173,"St Clairsville, OH",Other / Unknown
BENTOWA,Benton County,WA,0,15,"Kennewick, WA",Non-dedicated
BERGENJ,Bergen County Jail,NJ,0,183,"Hackensack, NJ",Federal
BEJUVPA,Berks Co. Juvenile,PA,15,45,"Leesport, PA",Family / Youth
BEFAMPA,Berks County Family Shelter,PA,0,149,"Leesport, PA",Family / Youth
BERKSPA,"Berks County Jail, PA",PA,0,167,"Leesport, PA",Federal
BCORCPA,Berks County Residential Center,PA,159,172,"Leesport, PA",Dedicated
BESECPA,Berks County Secured Juvenile,PA,0,44,"Leesport, PA",Family / Youth
BRKHOLD,Berks Hold Room,PA,94,172,"Leesport, PA",Hold / Staging
BERNANM,Bernalillo County Det Ctr,NM,0,200,"Albuquerque, NM",Dedicated
BWRGMTX,Best West Rose Grdn I&S,TX,142,153,"Mcallen, TX",Hotel
BWEPATX,Best Western Casa De Estrella,TX,150,161,"El Paso, TX",Family / Youth
BWDGICA,Best Western Dragon Gate Inn,CA,0,138,"Los Angeles, CA",Hotel
BWMARCA,Best Western Marina,CA,99,144,"National City, CA",Hotel
BIDHPMA,Beth Israel Deaconess Hosp,MA,172,200,"Boston, MA",Medical
ISHOSNY,"Beth Israel Hospital, Manhattan",NY,29,179,"New York, NY",Medical
WCCBXTX,Bexar County Wackenhut Annual Det.,TX,0,47,"San Antonio, TX",Federal
BIGHOMT,"Big Horn County Jail, MT",MT,1,30,"Hardin, MT",Non-dedicated
BIGHOWY,"Big Horn County Jail, WY",WY,6,7,"Basin, WY",Non-dedicated
BSCHOLD,Big Spring Hold Room,TX,52,201,"Big Spring, TX",Hold / Staging
BILHOLD,Billings Hold Room,MT,81,177,"Billings, MT",Hold / Staging
BHMHOLD,Birmingham Hold Room,AL,32,200,"Homewood, AL",Hold / Staging
BLKREOK,Blackwell Regional Hospital,OK,193,194,"Blackwell, OK",Medical
BLOUNTN,Blount County Justice Ctr,TN,0,5,"Maryville, TN",Non-dedicated
BLBNATX,Bluebonnet Det Fclty,TX,134,201,"Anson, TX",Non-dedicated
BOIHOLD,Boise Hold Room,ID,73,201,"Boise, ID",Hold / Staging
BONNEID,Bonneville Co. Jail,ID,0,52,"Idaho Falls, ID",Non-dedicated
BOONEKY,Boone County Jail,KY,0,201,"Burlington, KY",Federal
BSQUETX,Bosque County Sheriff's Dept.,TX,91,92,"Meridian, TX",Other / Unknown
BOSSRLA,Bossier Parish Cor. Center,LA,116,187,"Plain Dealing, LA",Federal
BOSHOLD,Boston Holdroom,MA,8,201,"Burlington, MA",Hold / Staging
BPC,Boston SPC,MA,0,200,"Boston, MA",Other / Unknown
BOTTIND,Bottineau Co. ND Jail,ND,0,48,"Bottineau, ND",Non-dedicated
BOURBKY,Bourbon Co Det Center,KY,199,201,"Paris, KY",Other / Unknown
BOWCOTX,Bowie County Jail,AR,0,1,"Texarkana, AR",Non-dedicated
BLGHOLD,Bowling Green Hold Room,VA,183,197,"Bowling Green, VA",Hold / Staging
BRADEFL,Bradenton Detention Center,FL,0,56,"Bradenton, FL",Non-dedicated
BRDFDFL,Bradford County Jail,FL,166,196,"Starke, FL",Non-dedicated
BRANCMI,"Branch Co, Coldwater, MI",MI,88,89,"Coldwater, MI",Other / Unknown
BREMEIA,"Bremer Co Jail, Iowa",IA,100,160,"Waverly, IA",Federal
FLBREVC,Brevard Correctional,FL,146,148,"Cocoa, FL",Other / Unknown
BREVDFL,Brevard County Jail Complex,FL,195,201,"Cocoa, FL",Other / Unknown
BRINDMA,Bristol Cnty Ndartmouth,MA,0,153,"North Dartmouth, MA",Non-dedicated
BSAHOLD,Broadview Service Staging,IL,26,201,"Broadview, IL",Hold / Staging
BROADMT,Broadwater County Jail,MT,4,19,"Townsend, MT",Non-dedicated
BBCHPMI,Bronson Battle Creek Hosp,MI,187,193,"Battle Creek, MI",Medical
BHFLDMI,Bronson Hospital Fieldstone Center,MI,60,64,"Battle Creek, MI",Medical
BROHOMI,Bronson Methodist Hospital,MI,193,196,"Kalamazoo, MI",Medical
BXCHSNY,Bronxcare Health System,NY,128,155,"Bronx, NY",Medical
BOPBRO,Brooklyn MDC,NY,36,79,"Brooklyn, NY",Federal
BROKSTX,Brooks County Jail (Contract),TX,4,166,"Falfurrias, TX",Federal
BROMMNY,Broome County Jail,NY,0,201,"Binghampton, NY",Non-dedicated
BROCRFL,Broward Correctional,FL,6,70,"Pembroke Pines, FL",Non-dedicated
BROJAFL,Broward County Jail,FL,33,201,"Ft.Lauderdale, FL",Non-dedicated
BRGMCFL,Broward General Medical Center,FL,26,201,"Ft. Lauderdale, FL",Medical
WCCPBFL,Broward Transitional Center,FL,0,201,"Pompano Beach, FL",Dedicated
BROWNSD,Brown County Jail,SD,39,51,"Aberdeen, SD",Non-dedicated
BROWNWI,Brown County Jail,WI,91,201,"Green Bay, WI",Other / Unknown
BRWNSTX,Brownsville Police Dept.,TX,110,168,"Brownsville, TX",Other / Unknown
BRCHOLD,Brush Holdroom,CO,24,87,"Brush, CO",Hold / Staging
NYBUFFC,"Buffalo CF, Alden,Ny",NY,7,110,"Alden, NY",Non-dedicated
BFLHPNY,Buffalo General Hospital,NY,198,200,"Buffalo, NY",Medical
BUFHOLD,Buffalo Hold Room,NY,49,201,"Buffalo, NY",Hold / Staging
BTV,Buffalo SPC,NY,0,201,"Batavia, NY",Dedicated
BURLEND,"Burleigh Co. Jail, ND",ND,39,201,"Bismarck, ND",Non-dedicated
BURNETX,Burnet County Jail,TX,20,190,"Burnet, TX",Federal
BUTLEOH,Butler County Jail,OH,0,201,"Hamilton, OH",Non-dedicated
BUTLEKS,Butler County Jail,KS,0,148,"El Dorado, KS",Federal
BOPBUT,Butner Fed.Corr.Inst.,NC,16,20,"Butner, NC",Federal
SILBOMT,Butte-Silver Bow County Jail,MT,23,24,"Butte, MT",Non-dedicated
MABSHOS,Bwater St Hosp Bridgewate,MA,0,105,"Bridgewater, MA",Medical
BFGHITX,"Byrd's Foster Group Home, Inc",TX,88,126,"Houston, TX",Family / Youth
CCADCAZ,CCA Cent.AZ.Det.Ctr.,AZ,0,171,"Florence, AZ",Federal
CCANOOH,CCA Northeast OH Corrects,OH,98,201,"Youngstown, OH",Dedicated
CCAFLAZ,"CCA, Florence Correctional Center",AZ,0,201,"Florence, AZ",Federal
CACFLEO,CCF/Leo Chesney,CA,103,104,"Live Oak, CA",Other / Unknown
CADCCAL,CDC Calipatria IHP,CA,64,76,"Calipatria, CA",Non-dedicated
CBRRSNC,Cabarrus County Jail,NC,8,201,"Concord, NC",Non-dedicated
CACHEUT,Cache Co. Jail,UT,98,170,"Logan, UT",Federal
CALDWMO,Caldwell County Jail,MO,0,136,"Kingston, MO",Non-dedicated
CALHOMI,"Calhoun Co., Battle Cr,MI",MI,0,201,"Battle Creek, MI",Non-dedicated
CAMENCE,"Calif. Men Colony, East",CA,107,108,"San Luis Obispo, CA",Other / Unknown
CAMENCW,"Calif. Men Colony, West",CA,106,186,"San Luis Obispo, CA",Other / Unknown
CACTYCA,California City Corections Center,CA,29,62,"California City, CA",Federal
CASPCAL,Calipatria State Prison,CA,4,6,"Calipatria, CA",Other / Unknown
CAMBRPA,"Cambria County Jail, PA",PA,0,154,"Ebensburg, PA",Federal
CAMERTX,Cameron County Jail,TX,18,184,"Brownsville, TX",Non-dedicated
CPBDCKY,Campbell Co Det Ctr,KY,197,201,"Newport, KY",Federal
CAMCOWY,Campbell County Jail,WY,1,190,"Gillette, WY",Non-dedicated
CARBOPA,Carbon County Correctionl,PA,59,60,"Nesquehoning, PA",Non-dedicated
CARBOWY,Carbon County Jail,WY,1,7,"Rawlins, WY",Non-dedicated
CARDFVA,Caroline Detention Facility,VA,119,201,"Bowling Green, VA",Dedicated
CARROMD,Carroll County Detention Center,MD,0,56,"Westminster, MD",Non-dedicated
CAJUVMN,Carver Co. Juvy Detention,MN,0,133,"Chaska, MN",Family / Youth
CARJAMN,Carver County Jail,MN,0,173,"Chaska, MN",Non-dedicated
CGRMCAZ,Casa Grande Reg. Med. Center,AZ,8,201,"Casa Grande, AZ",Medical
CASSJCA,Casa San Juan,CA,45,46,"San Diego, CA",Family / Youth
CASCAMT,"Cascade County Jail, MT",MT,0,201,"Great Falls, MT",Federal
CSYJVNY,Casey House Shelter,NY,4,80,"Buffalo, NY",Family / Youth
CSPHOLD,Casper Holdroom,WY,24,201,"Casper, WY",Hold / Staging
CASSCND,Cass County Jail,ND,31,76,"Fargo, ND",Non-dedicated
CASSCNE,Cass County Jail,NE,0,201,"Plattsmouth, NE",Federal
CATAHLA,Catahoula Correctional Center,LA,129,152,"Harrisonburg, LA",Non-dedicated
CATTANY,Cattaraugus County Jail,NY,0,47,"Little Valley, NY",Non-dedicated
CAYUGNY,Cayuga County Jail,NY,0,91,"Auburn, NY",Non-dedicated
CCHRTTX,Cedar Crest Hosp Treat,TX,142,192,"Belton, TX",Medical
CRIHOLD,Cedar Rapids Hold Room,IA,27,201,"Cedar Rapids, IA",Hold / Staging
CEMEDFL,Cedars Medical Center,FL,10,95,"Miami, FL",Medical
CNTGRIL,Centegra Hospital,IL,90,91,"Woodstock, IL",Medical
CENTRVA,Centra Health,VA,192,201,"Lynchburg, VA",Medical
CSSCHVA,Centra Southside Comm Hosp,VA,181,200,"Farmville, VA",Medical
CCRMHMN,Centracare Rice Memorial Hosp,MN,188,196,"Willmar, MN",Medical
CAMEDAZ,Central Arizona Medical,AZ,42,159,"Florence, AZ",Medical
CIPHOLD,Central Islip Hold Room,NY,136,201,"Central Islip, NY",Hold / Staging
CENTRWV,Central Regional Jail,WV,51,52,"Sutton, WV",Non-dedicated
WACLATX,Central Texas Detention Facility,TX,0,134,"San Antonio, TX",Federal
CVREGVA,Central VA Regional Jail,VA,22,197,"Orange County, VA",Non-dedicated
CVANXCA,Central Valley Annex,CA,184,185,"McFarland, CA",Other / Unknown
CNTRHWA,Central Washington Hospital,WA,199,200,"Wenatchee, WA",Medical
CMEDHPR,Centro Medico Hospital,PR,71,176,"San Juan, PR",Medical
CRTOSCA,Cerritos  College Hosp,CA,16,17,"Cerritos, CA",Medical
CHMHOLD,Champlain Hold Room,NY,129,200,"Champlain, NY",Hold / Staging
CHANRAZ,Chandler Reg Med Ctr,AZ,175,197,"Chandler, AZ",Medical
CHARLSC,Charleston County Correct,SC,0,200,"North Charleston, SC",Federal
CHLHOLD,"Charleston, SC Hold Room",SC,106,201,"Charleston, SC",Hold / Staging
CHAHOLD,Charlotte Amalie Holdroom,VI,17,201,"St. Thomas, VI",Hold / Staging
FLCHACI,"Charlotte CI, Punta Gorda",FL,194,195,"Punta Gorda, FL",Other / Unknown
CHRLTFL,Charlotte County Jail,FL,103,114,"Punta Gorda, FL",Non-dedicated
CLTHOLD,Charlotte Hold Room,NC,29,201,"Charlotte, NC",Hold / Staging
CHASEKS,Chase County Jail,KS,0,201,"Cottonwood Falls, KS",Non-dedicated
CSHEPTX,Chase Ste Hotel Elp,TX,142,144,"El Paso, TX",Hotel
CHATHGA,Chatham Co Jail,GA,42,46,"Savannah, GA",Non-dedicated
CNGHOLD,Chattanooga Hold Room,TN,32,201,"Chattanooga, TN",Hold / Staging
CHACONY,Chautauqua County Jail,NY,0,166,"Mayville, NY",Non-dedicated
CHAVENM,Chavez Det Crt,NM,109,201,"Roswell, NM",Non-dedicated
CHELAWA,Chelan Co. Regional Jail,WA,0,103,"Wenatchee, WA",Federal
CHEMUNY,Chemung County Jail,NY,59,60,"Elmira, NY",Non-dedicated
CHENANY,Chenango County Jail,NY,60,61,"Norwich, NY",Other / Unknown
CHEROOK,Cherokee County Jail,OK,51,52,"Tahlequah, OK",Other / Unknown
CHFLDVA,Chesterfield Co. Jail,VA,173,174,"Chesterfield, VA",Other / Unknown
CHYHOLD,Cheyenne Holdroom,WY,24,201,"Cheyenne, WY",Hold / Staging
CHIHMIA,Chi Health Mercy Council Bluffs,IA,179,180,"Council Bluffs, IA",Medical
CSLLFTX,Chi St Luke's H M Lufkin,TX,186,200,"Lufkin, TX",Medical
CHISLTX,Chi St Luke's Health Mem,TX,171,193,"Lufkin, TX",Medical
CHIHOLD,Chicago Hold Room,IL,26,201,"Chicago, IL",Hold / Staging
CHIPPMI,"Chippewa Co., SSM",MI,0,201,"Sault Sainte Marie, MI",Non-dedicated
VTCHTDN,Chittenden Reg. Cor. Facility,VT,13,201,"South Burlington, VT",Non-dedicated
CHRISMO,Christian Co Sheriff Dept,MO,0,163,"Ozark, MO",Non-dedicated
CHSRHTX,Christus Santa Rosa Hospital - Med,TX,187,199,"Irving, TX",Medical
CCCSSTX,Christus Spohn Hosp CC - South,TX,172,173,"Corpus Christi, TX",Medical
CIBOCNM,Cibola County Correctional Center,NM,98,201,"Milan, NM",Non-dedicated
CIBOLNM,Cibola County Det Ctr,NM,110,166,"Grants, NM",Non-dedicated
CIBOGNM,Cibola General Hospital,NM,182,198,"Grants, NM",Medical
OKCIMMC,Cimarron Correctional Facility,OK,197,201,"Cushing, OK",Federal
CINHOLD,Cincinnati Holdroom,OH,134,199,"Cincinnati, OH",Hold / Staging
CITRUFL,Citrus County Jail,FL,2,195,"Lecanto, FL",Non-dedicated
CLARIPA,Clarion  County Corrections,PA,7,8,"Shippenville, PA",Non-dedicated
CLARKIN,Clark County Jail,IN,198,201,"Jeffersonville, IN",Federal
CLARKWA,Clark County Jail,WA,1,2,"Vancouver, WA",Non-dedicated
CFREDVA,Clarke Fred'k Winch.,VA,0,1,"Winchester, VA",Non-dedicated
CLAYCIN,Clay County Justice Center,IN,57,201,"Brazil, IN",Federal
CLEHOLD,Cleveland Hold Room,OH,44,201,"Cleveland, OH",Hold / Staging
CLINTPA,Clinton County Corr. Fac.,PA,0,201,"Mcelhattan, PA",Federal
CLICONY,Clinton County Jail,NY,0,201,"Plattsburgh, NY",Federal
CLINTIN,Clinton County Jail,IN,199,201,"Frankfort, IN",Federal
CBENDTX,Coastal Bend Det. Facility,TX,44,201,"Robstown, TX",Federal
COBBJGA,Cobb County Jail,GA,0,196,"Marietta, GA",Non-dedicated
COCHIAZ,Cochise Co Jail Bisbee AZ,AZ,18,160,"Bisbee, AZ",Non-dedicated
COCONAZ,Coconino Co Detention Facility,AZ,2,131,"Flagstaff, AZ",Federal
COLLIFL,Collier County Sheriff,FL,0,201,"Naples, FL",Non-dedicated
CSDHOLD,Colo Springs Den HSI Hold,CO,132,201,"Colorado Springs, CO",Hold / Staging
COLOMNY,Colombia County Jail,NY,4,16,"Hudson, NY",Non-dedicated
COLCASC,Columbia Care Center,SC,0,201,"Columbia, SC",Medical
COLUMPA,Columbia County Jail,PA,0,162,"Bloomsburg, PA",Federal
COLUMFL,Columbia County Jail,FL,167,196,"Lake City, FL",Other / Unknown
COLUMOR,Columbia County Jail,OR,0,70,"Saint Helens, OR",Federal
CKHOSFL,Columbia Kendal Hospital,FL,0,201,"Miami, FL",Medical
COAHOLD,"Columbia, SC Holdroom",SC,69,201,"Columbia, SC",Hold / Staging
CLMHOLD,Columbus Holdroom,OH,86,201,"Columbus, OH",Hold / Staging
CISAETX,Comfort Inn Ste Elp Airp,TX,150,151,"El Paso, TX",Hotel
CSANOLA,Comfort Suites Alexandria,LA,151,154,"Alexandria, LA",Hotel
CISEPTX,Comfort Suites Casa Consuelo,TX,150,160,"El Paso, TX",Family / Youth
COMFTFL,Comfort Suites Hotel,FL,0,146,"Miami, FL",Hotel
CWHCCMP,Commonwealth Healthcare Corp,MP,180,181,"Fananganan, Saipan, MP",Medical
CRMCFCA,Community Reg Med Center,CA,175,189,"Fresno, CA",Medical
CMPJVNY,Compass House Shelter,NY,0,123,"Buffalo, NY",Family / Youth
CONCOLA,Concordia Parish C C,LA,31,68,"Ferriday, LA",Non-dedicated
CONEJCO,Conejos County Jail,CO,0,69,"Antonito, CO",Non-dedicated
CONHOTX,Connally Memorial Medical Center,TX,195,196,"Floresville, TX",Medical
CONWECA,Contra Costa Co Jail/West,CA,18,119,"Richmond, CA",Federal
CONCOCA,Contra Costa Co. Jail,CA,18,119,"Martinez, CA",Federal
CCRMCCA,Contra Costa Reg Med Ctr,CA,199,200,"Martinez, CA",Medical
CONVEWY,Converse County Jail,WY,0,7,"Douglas, WY",Non-dedicated
CCHHSIL,Cook County Hospital-JHS,IL,94,132,"Chicago, IL",Medical
AKCOOKI,"Cook Inlet Pretrial, Anch",AK,0,198,"Anchorage, AK",Non-dedicated
COOSCOR,Coos Co. Jail,OR,38,127,"Coquille, OR",Non-dedicated
COOCONH,Coos County Jail,NH,127,135,"West Stewartstown, NH",Federal
CRPHOLD,Corpus Christi EOR Hold Room,TX,178,201,"Corpus Christi, TX",Hold / Staging
OHNORWE,Corrections Center of NW Ohio,OH,197,201,"Stryker, OH",Federal
COSTACA,Costa Mesa College Hosp,CA,0,58,"Costa Mesa, CA",Medical
CISPVLA,County Inn & Ste By Rad,LA,144,145,"Pineville, LA",Hotel
CHMCINY,Courthouse USM Cntl Islip,NY,137,200,"Central Islip, NY",Other / Unknown
COWJVWA,Cowlitz Co. Juv. Det.,WA,0,151,"Longview, WA",Family / Youth
COXMEMO,Coxhealth Medical Center South,MO,197,201,"Springfield, MO",Medical
CRGHOLD,Craig Holdroom,CO,24,201,"Craig, CO",Hold / Staging
CCHAUTX,Cross Creek Hospital,TX,187,193,"Austin, TX",Medical
CROWGMN,Crow Wing County Jail,MN,33,35,"Brainerd, MN",Non-dedicated
CPPAPAZ,Crowne Plaza Phoenix Ap,AZ,142,145,"Phoenix, AZ",Hotel
CRYCCTX,Crystal City Corr. Center,TX,54,64,"Crystal City, TX",Federal
CASPSAC,Csp-Sacramento,CA,78,200,"Represa, CA",Non-dedicated
CULBETX,Culberson County Sheriff's,TX,122,123,"Van Horn, TX",Non-dedicated
CULPEVA,Culpeper Co. Adult Det. Center,VA,31,199,"Culpeper, VA",Non-dedicated
CUMBEME,Cumberland County Jail,ME,0,201,"Portland, ME",Federal
BOPCUM,Cumberland FCI,MD,0,19,"Cumberland, MD",Federal
CURRYNM,Curry County Det Fac,NM,46,189,"Clovis, NM",Non-dedicated
CUSTEMT,Custer County Jail,MT,0,1,"Miles City, MT",Non-dedicated
GADRYJM,D. Ray James Prison,GA,120,190,"Folkston, GA",Federal
DCDOCDC,DC Dept Of Corrections,DC,13,70,"Washington, DC",Federal
SAJHOLD,DHS/ICE/DRO,PR,0,201,"Guaynabo, PR",Hold / Staging
DSMCNTX,DSMC - Del Sol Medical Center,TX,117,201,"El Paso, TX",Medical
FLDADCI,Dade Correctional Inst,FL,74,107,"Florida City, FL",Other / Unknown
DAKOTNE,Dakota County Jail,NE,14,201,"Dakota City, NE",Federal
BOPDAL,Dalby Correctional Institute,TX,101,174,"Post, TX",Federal
DALCOTX,Dallas County Jail-Lew Sterrett,TX,72,201,"Dallas, TX",Federal
