detention_facility_code,name,state,type,start,end,place
ORANGNY,Orange County Jail,NY,Non-dedicated,0,210,"Goshen, NY"
ORANGFL,Orange County Jail,FL,Federal,0,210,"Orlando, FL"
OGRMCNY,Orange Regional Med Ctr,NY,Medical,128,204,"Middletown, NY"
AAORDMD,Ordnance Road Correctional Center,MD,Non-dedicated,108,127,"Glen Burnie, MD"
ORLHOLD,Orlando Hold Room,FL,Hold / Staging,0,210,"Orlando, FL"
NYORLNC,Orleans Correctional,NY,Non-dedicated,132,133,"Albion, NY"
ORLEANY,Orleans County Jail,NY,Non-dedicated,5,11,"Albion, NY"
ORPARLA,Orleans Parish Sheriff,LA,Non-dedicated,0,106,"New Orleans, LA"
OSAHOKS,Osawatamie State Hospital,KS,Medical,53,54,"Osawatomie, KS"
OSCEOFL,Osceola County Jail,FL,Other / Unknown,195,210,"Kissimmee, FL"
CCASDCA,Otay Mesa Detention Center,CA,Dedicated,0,210,"San Diego, CA"
OTRPCNM,Otero Co Processing Center,NM,Dedicated,0,210,"Chaparral, NM"
OTERONM,Otero County Detention,NM,Non-dedicated,0,190,"Alamogordo, NM"
OTEROCO,Otero County Jail,CO,Federal,65,94,"Lajunta, CO"
OTROPNM,Otero County Prison Facility,NM,Federal,0,156,"Chaparral, NM"
OKMHKTX,Otto Kaiser Memorial Hospital,TX,Medical,176,203,"Kenedy, TX"
OZARKMO,Ozark County Sheriff'S Office,MO,Non-dedicated,197,210,"Gainesville, MO"
PMMCAHI,Pali Momi Medical Center,HI,Medical,175,176,"Aiea, HI"
PALMBFL,Palm Beach County Jail,FL,Non-dedicated,0,210,"West Palm Beach, FL"
PLRMCCA,Palmdale Regional Medical Center,CA,Medical,78,195,"Palmdale, CA"
AKPALMC,Palmer Correctional Cente,AK,Non-dedicated,41,69,"Palmer, AK"
PMHOSFL,Palmetto Hospital,FL,Medical,0,178,"Hialeah, FL"
PLMBHTX,Palms Behavioral Health,TX,Medical,95,189,"Harlingen, TX"
PWHOSFL,Palms West Hospital,FL,Medical,28,200,"Loxahatchee, FL"
PLMVWTX,Palmview Police Dept.,TX,Other / Unknown,81,156,"Palmview, TX"
PAMSATX,Pam Health Specialty Hospital 1,TX,Medical,189,202,TX
PAMREVA,Pamunkey Reg Jail,VA,Federal,0,25,"Hanover, VA"
PVLYHCA,Paradise Valley Hospital,CA,Medical,166,204,"National City, CA"
PARKCMT,Park County Det Center,MT,Non-dedicated,4,13,"Livingston, MT"
PARKJCO,Park County Jail,CO,Non-dedicated,0,94,"Fairplay, CO"
PARKCWY,Park County Jail,WY,Non-dedicated,2,17,"Cody, WY"
PKLDHTX,Parkland Hospital,TX,Medical,152,204,"Dallas, TX"
PVHOSIN,Parkview Hospital Randallia,IN,Medical,203,204,"Fort Wayne, IN"
PKMEDIN,Parkview Regional Medical Center,IN,Medical,197,200,"Fort Wayne, IN"
PASADCA,Pasadena City Jail,CA,Non-dedicated,0,70,"Pasadena, CA"
PASSANJ,Passaic County Jail,NJ,Non-dedicated,8,9,"Paterson, NJ"
PAVHRPR,Pavia Hospital - Hato Rey,PR,Medical,60,130,"San Juan, PR"
PDNHOLD,Pdn Hold Room,TX,Hold / Staging,44,201,"El Paso, TX"
PBDPDMA,Peabody PD,MA,Other / Unknown,184,185,"Peabody, MA"
PTISATX,Pear Tree Inn SNA Airport,TX,Hotel,143,177,"San Antonio, TX"
PECOSTX,Pecos Criminal Justice Center,TX,Non-dedicated,25,161,"Pecos, TX"
PCSHOLD,Pecos Hold Room,TX,Hold / Staging,17,210,"Pecos, TX"
PEMBIND,Pembina County Jail,ND,Non-dedicated,1,8,"Cavalier, ND"
PENDOWA,Pend Orielle Correctional Facility,WA,Non-dedicated,2,7,"Newport, WA"
PENDRNC,Pender County Jail,NC,Other / Unknown,97,98,"Burgaw, NC"
MVPNHPA,Penn Highlands Clearfield,PA,Medical,179,201,"Clearfield, PA"
PENNISD,Pennington County Jail SD,SD,Federal,0,210,"Rapid City, SD"
PENOBME,Penobscot County Jail,ME,Federal,0,61,"Bangor, ME"
PCJDCIL,Peoria County Juv Det Center,IL,Family / Youth,98,99,"Peoria, IL"
PERRYAL,Perry County Corr. Center,AL,Non-dedicated,0,15,"Uniontown, AL"
PRYCOAL,Perry County Jail,AL,Non-dedicated,37,38,"Marion, AL"
AZSPPER,Perryville State Prison,AZ,Non-dedicated,77,207,"Goodyear, AZ"
BOPPET,Petersburg Fed.Corr.Inst.,VA,Other / Unknown,168,180,"Hopewell, VA"
PHELPNE,Phelps County Jail,NE,Federal,0,210,"Holdrege, NE"
PHELPMO,Phelps County Jail,MO,Federal,197,210,"Rolla, MO"
PHELSMO,Phelps Health Hospital,MO,Medical,198,203,"Rolla, MO"
PHIHOLD,Phi District Office,PA,Hold / Staging,0,210,"Philadelphia, PA"
PHILLMT,"Phillips County Jail, MT",MT,Non-dedicated,18,19,"Malta, MT"
PHPMHGA,Phoebe Putney Memorial Hosp,GA,Medical,186,198,"Albany, GA"
PHOSMGA,Phoebe Sumter Med Ctr,GA,Medical,185,192,"Americus, GA"
PHOHOLD,Phoenix Dist Office,AZ,Hold / Staging,0,210,"Phoenix, AZ"
BOPPHX,Phoenix Fed.Corr.Inst.,AZ,Federal,64,210,"Phoenix, AZ"
PICKJOH,Pickaway County Jail,OH,Non-dedicated,88,89,"Circleville, OH"
PCKNSAL,Pickens County Det Ctr,AL,Non-dedicated,142,210,"Carrollton, AL"
PMREGVA,Piedmont Reg Jail,VA,Non-dedicated,0,186,"Farmville, VA"
PCRMMGA,Piedmount Columbus Reg Midtown MC,GA,Medical,183,202,"Columbus, GA"
PIERCND,Pierce County Jail,ND,Other / Unknown,110,210,"Rugby, ND"
PKEHOLD,Pike County ERO Hold Room,PA,Hold / Staging,94,210,"Hawley, PA"
PKCNTPA,Pike County Jail,PA,Non-dedicated,161,164,"Lords Valley, PA"
PIKCOPA,Pike County Jail,PA,Non-dedicated,0,210,"Lords Valley, PA"
PIMAJAZ,Pima County Jail,AZ,Non-dedicated,35,184,"Tucson, AZ"
PINALAZ,Pinal County Jail,AZ,Non-dedicated,0,208,"Florence, AZ"
ILPICKN,Pinckneyville Correctional Center,IL,Other / Unknown,89,90,"Pinckneyville, IL"
PINEPLA,Pine Prairie ICE Processing Center,LA,Dedicated,87,210,"Pine Prairie, LA"
PINELFL,Pinellas County Jail,FL,Federal,0,210,"Clearwater, FL"
PISCAME,Piscataguis County Jail,ME,Federal,0,69,"Dover-Foxcroft, ME"
PITHOLD,Pittsburgh Holdroom,PA,Hold / Staging,87,210,"Pittsburgh, PA"
PLATTWY,Platte County Jail,WY,Federal,0,210,"Wheatland, WY"
PLATTMO,Platte County Jail,MO,Non-dedicated,0,198,"Platte City, MO"
PHRCENJ,Plaza Healthcare Rehab Center,NJ,Medical,203,204,"Elizabeth, NJ"
PLYMOMA,Plymouth Co Cor Facilty,MA,Non-dedicated,0,210,"Plymouth, MA"
POLKJIA,Polk County Jail,IA,Federal,0,210,"Des Moines, IA"
POLKJFL,Polk County Jail,FL,Non-dedicated,203,205,"Bartow, FL"
BOPPOL,Pollock USP,LA,Federal,120,207,"Pollock, LA"
POMONCA,Pomona City Jail,CA,Federal,0,112,"Pomona, CA"
PONDEMT,Pondera County Jail,MT,Non-dedicated,3,25,"Conrad, MT"
PTISBTX,Port Isabel Police Dept.,TX,Other / Unknown,71,175,"Port Isabel, TX"
PIC,Port Isabel SPC,TX,Dedicated,0,210,"Los Fresnos, TX"
POOHOLD,Portland District Office,OR,Hold / Staging,0,210,"Portland, OR"
POMHOLD,"Portland, ME Holdroom",ME,Hold / Staging,26,210,"Portland, ME"
WVPTMAC,Potomac Highlands Regional Jail,WV,Non-dedicated,202,208,"Augusta, WV"
POTTAIA,Pottawattamie County Jail,IA,Federal,0,210,"Council Bluffs, IA"
POTTRTX,Potter County Jail,TX,Other / Unknown,198,201,"Amarillo, TX"
PRLDCTX,Prairieland Detention Center,TX,Dedicated,99,210,"Alvarado, TX"
PRLHOLD,Prairieland Suboffice Hold Room,TX,Hold / Staging,105,210,"Alvarado, TX"
PRSHANM,Presbyterian Hosp Abq,NM,Medical,154,200,"Albuquerque, NM"
PRESITX,Presidio County Jail,TX,Non-dedicated,35,41,"Marfa, TX"
PWILLVA,Prince William,VA,Federal,0,210,"Manassas, VA"
PMMRHMI,Promedica Monroe Reg Hosp,MI,Medical,203,204,"Monroe, MI"
KPCHOAZ,Promise Hospital,AZ,Medical,195,204,"Mesa, AZ"
PROHOLD,Providence Holdroom,RI,Hold / Staging,113,210,"Warwick, RI"
PRVMDKS,Providence Medical Group,KS,Medical,201,202,"Kansas City, KS"
PRUHOLD,Provo Hold Room,UT,Hold / Staging,58,210,"Spanish Fork, UT"
PROWECO,Prowers County Jail,CO,Non-dedicated,1,18,"Lamar, CO"
PUEBLCO,Pueblo County Jail,CO,Federal,0,200,"Pueblo, CO"
PUEHOLD,Pueblo Holdroom,CO,Hold / Staging,24,210,"Florence, CO"
PULASIL,Pulaski County Jail,IL,Non-dedicated,88,156,"Ullin, IL"
PUTMAFL,Putman County Jail,FL,Other / Unknown,167,208,"Palatka, FL"
PUTNMTN,Putnam County Sheriff,TN,Federal,198,210,"Cookeville, TN"
QLTYSCA,Quality Suites,CA,Hotel,65,164,"Calipatria, CA"
QUEMCHI,Queen's Medical Center,HI,Medical,184,204,"Honolulu, HI"
QUEHONY,Queens House Of Detention,NY,Non-dedicated,62,113,"Kew Gardens, NY"
RDHOSPA,READING HOSPITAL,PA,Medical,200,201,"West Reading, PA"
CACFDON,RJ Donovan Correc Fac,CA,Other / Unknown,44,154,"San Diego, CA"
RDHEATX,Radisson Htl Elp Airport,TX,Hotel,142,149,"El Paso, TX"
RDUHOLD,Raleigh Hold Room,NC,Hold / Staging,32,210,"Cary, NC"
RAMEPTX,Ramada By Wyndham El Paso,TX,Hotel,148,149,"El Paso, TX"
RMWYPAZ,Ramada By Wyndham Pho,AZ,Hotel,150,154,"Phoenix, AZ"
HOTELMA,Ramada Hotel,MA,Hotel,30,127,"East Boston, MA"
RAADCMN,"Ramsey ADC Annex, SPM",MN,Federal,0,207,"St. Paul, MN"
RNDLLTX,Randall County Jail,TX,Federal,0,210,"Amarillo, TX"
RPCHOLD,Rapid City Hold Room,SD,Hold / Staging,17,210,"Rapid City, SD"
RAPPSVA,Rapp Sec Center,VA,Federal,4,210,"Stafford, VA"
BOPRBK,Ray Brook Fed.Corr.Inst.,NY,Federal,107,108,"Ray Brook, NY"
RDRVHTX,Red River Hospital,TX,Medical,148,204,"Wichita Falls, TX"
RRFINWA,Red Roof Inn,WA,Hotel,4,135,"SeaTac, WA"
REDHOLD,Redding Hold Room,CA,Hold / Staging,126,210,"Redding, CA"
REJUVTX,Reeves Co. Juv. Det. Ctr.,TX,Non-dedicated,33,138,"Pecos, TX"
REDETTX,Reeves County Det. Center,TX,Non-dedicated,0,160,"Pecos, TX"
REJAITX,Reeves County Jail,TX,Non-dedicated,0,38,"Pecos, TX"
RENHOLD,Reno Hold Room,NV,Hold / Staging,38,210,"Reno, NV"
RENSSNY,Rensselaer Co Sheriff,NY,Federal,110,167,"Troy, NY"
RESIDTX,Residence Inn Dallas Ap,TX,Hotel,150,153,"Irving, TX"
RIHPRRI,Rhode Island Hospital,RI,Medical,182,183,"Providence, RI"
RICECKS,Rice County Det Center,KS,Non-dedicated,0,61,"Lyons, KS"
RICHOLD,Richland Hold Room,WA,Hold / Staging,154,209,"Richland, WA"
RICHMVA,Richmond City Jail,VA,Non-dedicated,11,155,"Richmond, VA"
RCMHOLD,Richmond Sub-Office Hold,VA,Hold / Staging,17,210,"Richmond, VA"
RWCCMLA,Richwood Cor Center,LA,Dedicated,126,210,"Monroe, LA"
RIOCCCA,Rio Cosumnes Corrections-RCCC,CA,Non-dedicated,57,117,"Elk Grove, CA"
RIOGRCO,Rio Grande County Jail,CO,Non-dedicated,99,157,"Del Norte, CO"
RGRNDTX,Rio Grande Detention Center,TX,Federal,63,210,"Laredo, TX"
RGHOSTX,Rio Grande St.Hospital,TX,Medical,64,204,"Harlingen, TX"
RGS,Rio Grande Valley Staging,TX,Hold / Staging,20,210,"Los Fresnos, TX"
RVBHHTX,Rio Vista Behv Hlth Hsp,TX,Medical,140,204,"El Paso, TX"
RVRCCLA,River Correctional Center,LA,Dedicated,124,210,"Ferriday, LA"
REHOSIL,Riveredge Hospital,IL,Medical,0,83,"Forest Park, IL"
RIVERCA,Riverside County Sheriff,CA,Non-dedicated,12,157,"Riverside, CA"
RSREGVA,Riverside Reg Jail,VA,Federal,0,210,"Hopewell, VA"
RONKEVA,Roanoke City Jail,VA,Federal,1,209,"Roanoke, VA"
ROANOVA,Roanoke County Jail,VA,Non-dedicated,21,127,"Salem, VA"
RMKHOLD,Roanoke Sub-Office Hold Room,VA,Hold / Staging,118,210,"Salem, VA"
RADDFGA,Robert A Deyton Detention Fac,GA,Federal,118,210,"Lovejoy, GA"
ROBERSD,"Roberts Co. Jail, SD",SD,Non-dedicated,39,160,"Sisseton, SD"
BOPRCH,Rochester Fed.Med.Center,MN,Federal,0,13,"Rochester, MN"
ROCGHNY,Rochester General Hospital,NY,Medical,185,197,"Rochester, NY"
RCKISIL,Rock Island Correctional Center,IL,Federal,63,64,"Rock Island, IL"
ROCKIIL,Rock Island County Jail,IL,Federal,0,203,"Rock Island, IL"
RIIHOLD,Rock Island Hold Room,IL,Hold / Staging,32,210,"Rock Island, IL"
RRIVRIL,Rock River Health Care,IL,Medical,97,101,"Rockford, IL"
ROCKIVA,Rockingham Co. Jail,VA,Federal,0,210,"Harrisonburg, VA"
ROCKINH,Rockingham County Jail,NH,Non-dedicated,0,115,"Brentwood, NH"
HASKLTX,Rolling Plains Detention Center,TX,Federal,0,207,"Haskell, TX"
ROSEAMN,Roseau County Jail,MN,Non-dedicated,4,9,"Roseau, MN"
ROSEBMT,Rosebud County Jail,MT,Non-dedicated,0,30,"Forsyth, MT"
RSWHOLD,Roswell Hold Room,NM,Hold / Staging,110,210,"Roswell, NM"
ROUTTCO,Routt County Jail,CO,Non-dedicated,18,19,"Steamboat Springs, CO"
SDPROCA,S.D. County Probation,CA,Other / Unknown,35,168,"San Diego, CA"
CACCJAM,SCC/Jamestown,CA,Other / Unknown,66,92,"Jamestown, CA"
SFRHOLD,SFR Hold Room,CA,Hold / Staging,0,210,"San Francisco, CA"
SNDHOLD,SND District Staging,CA,Hold / Staging,0,210,"San Diego, CA"
SNJHOLD,SNJ Hold Room,CA,Hold / Staging,1,198,"San Jose, CA"
SACRACA,Sacramento County Jail,CA,Federal,0,124,"Sacramento, CA"
SACHOLD,Sacramento Hold,CA,Hold / Staging,0,210,"Sacramento, CA"
STAHOLD,Saint Albans Hold Room,VT,Hold / Staging,61,210,"Saint Albans, VT"
STJOSCO,Saint Joseph Hospital,CO,Medical,188,203,"Denver, CO"
SAIHOLD,Saipain Hold,MP,Hold / Staging,26,208,"Saipan, MP"
MPSIPAN,Saipan Department Of Corrections,MP,Federal,32,210,"Saipan, MP"
SALEMNJ,Salem County Correctional Facility,NJ,Federal,85,205,"Woodstown, NJ"
SALINNE,Saline County Jail,NE,Other / Unknown,119,204,"Wilber, NE"
SALHOLD,Salisbury Hold Room,MD,Hold / Staging,131,210,"Salisbury, MD"
SLCHOLD,Salt Lake City Hold Room,UT,Hold / Staging,45,210,"West Valley City, UT"
SLSLCUT,Salt Lake County Jail,UT,Federal,0,210,"Salt Lake City, UT"
SAMBCMI,Samaritan Behavioral Center,MI,Medical,53,162,"Detroit, MI"
SAGHOLD,San Angelo Holdroom,TX,Hold / Staging,86,210,"San Angelo, TX"
SNAHOLD,San Antonio Dro Hold Room,TX,Hold / Staging,17,210,"San Antonio, TX"
SBNTOTX,San Benito Police Dept.,TX,Other / Unknown,65,67,"San Benito, TX"
SBDHOLD,San Bernadino Hold Room,CA,Hold / Staging,0,210,"San Bernardino, CA"
SBERNCA,San Bernardino Co. Jail,CA,Federal,0,203,"San Bernardino, CA"
SDHOSCA,San Diego Area Hospital,CA,Medical,0,95,"Chula Vista, CA"
SNDCOCA,San Diego County Jail,CA,Non-dedicated,1,204,"San Diego, CA"
JHALLCA,San Diego County Juv.Hall,CA,Family / Youth,42,44,"San Diego, CA"
BOPSDC,San Diego MCC,CA,Federal,32,104,"San Diego, CA"
SJUHOLD,San Juan Airport Hold Room,PR,Hold / Staging,79,210,"San Juan, PR"
SJUANNM,San Juan County Detention Center,NM,Federal,63,64,"Aztec, NM"
SJUANTX,San Juan Police Dept.,TX,Other / Unknown,60,73,"San Juan, TX"
SJS,San Juan Staging,PR,Hold / Staging,59,210,"Guaynabo, PR"
SLOBICA,San Luis Obispo Co Jail,CA,Other / Unknown,106,119,"San Luis Obispo, CA"
SLJUVCA,San Luis Obispo Co. Juven,CA,Other / Unknown,44,45,"San Luis Obispo, CA"
SLRDCAZ,San Luis Regional Det Center,AZ,Non-dedicated,0,210,"San Luis, AZ"
SANMINM,San Miguel County Det Ctr,NM,Non-dedicated,39,82,"Las Vegas, NM"
SPHOSCA,San Pedro Peninsula Hospital,CA,Medical,0,66,"San Pedro, CA"
SANDONM,Sandoval County Det Ctr,NM,Non-dedicated,39,42,"Bernalillo, NM"
SANJAIL,Sangamon County Jail,IL,Federal,0,146,"Springfield, IL"
SACITCA,Santa Ana City Jail,CA,Non-dedicated,0,209,"Santa Ana, CA"
SANANCA,Santa Ana County Jail,CA,Non-dedicated,0,15,"Santa Ana, CA"
SAAHOLD,Santa Ana DRO Holdroom,CA,Hold / Staging,0,210,"Santa Ana, CA"
SBARBCA,Santa Barbara County Jail,CA,Other / Unknown,106,154,"Santa Barbara, CA"
SCNORCA,Santa Clara Co Main Jail,CA,Federal,0,86,"San Jose, CA"
SCRUZAZ,Santa Cruz Co Jail AZ,AZ,Federal,6,167,"Nogales, AZ"
SFCORNM,Santa Fe Cornell Det. Fac.,NM,Non-dedicated,41,42,"Santa Fe, NM"
SANTANM,Santa Fe County Jail,NM,Non-dedicated,79,82,"Santa Fe, NM"
SMAHOLD,Santa Maria Sub Office ERO,CA,Other / Unknown,186,210,"Santa Maria, CA"
SROSAFL,Santa Rosa County Jail,FL,Other / Unknown,196,197,"Milton, FL"
SARASFL,Sarasota County Jail,FL,Non-dedicated,181,210,"Sarasota, FL"
SARPYNE,Sarpy County Jail,NE,Non-dedicated,8,210,"Papillion, NE"
SARJUNE,Sarpy County Juvenile,NE,Family / Youth,0,47,"Papillion, NE"
SAUKCWI,Sauk County Sheriff,WI,Other / Unknown,198,210,"Baraboo, WI"
SSMHOLD,Sault Sainte Marie Holdroom,MI,Hold / Staging,64,151,"Sault Ste. Marie, MI"
SAVHOLD,Savannah Hold Room,GA,Hold / Staging,206,210,"Savannah, GA"
SCOTTIA,Scott County Det.Facility,IA,Federal,109,210,"Davenport, IA"
SCOTTMO,Scott County Jail,MO,Non-dedicated,14,67,"Benton, MO"
SCOTTNE,Scotts Bluff Co Jail,NE,Federal,33,209,"Gering, NE"
BOPSET,Seatac Fed.Det.Center,WA,Federal,11,210,"Seatac, WA"
SEAHOLD,Seattle Field Office Hold Room,WA,Hold / Staging,0,210,"Seattle, WA"
SEBASAR,Sebastian County Det Cnt,AR,Federal,0,210,"Fort Smith, AR"
SMNOLFL,Seminole County Jail,FL,Other / Unknown,195,210,"Sanford, FL"
SENECOH,Seneca County Jail,OH,Non-dedicated,0,210,"Tiffin, OH"
SENECNY,Seneca County Jail,NY,Non-dedicated,8,68,"Corning, NY"
STCHOVA,Sentara Careplex Hospital,VA,Medical,188,189,"Hampton, VA"
SHNMCTX,Shannon Medical Center,TX,Medical,177,178,"San Angelo, TX"
SCVMCCA,Sharp Chula Vista Medical Center,CA,Medical,162,203,"Chula Vista, CA"
SHACOKS,Shawnee County Dept Of Corr.,KS,Non-dedicated,0,134,"Topeka, KS"
SHAJUKS,Shawnee County Juv.Det.Ctr,KS,Family / Youth,1,135,"Topeka, KS"
SHECOVA,Shenandoah Co Jail,VA,Non-dedicated,14,73,"Woodstock, VA"
SHERBMN,Sherburne County Jail,MN,Non-dedicated,0,210,"Elk River, MN"
SHERIWY,Sheridan County Jail,WY,Non-dedicated,5,6,"Sheridan, WY"
SHERIMT,Sheridan County Jail,MT,Non-dedicated,1,78,"Plentywood, MT"
BOPSHE,Sheridan Fed.Corr.Inst.,OR,Federal,115,174,"Sheridan, OR"
VVSHOLD,Shreveport Hold Room,LA,Hold / Staging,72,210,"Shreveport, LA"
SILERTN,Silverdale/Hamilton County,TN,Non-dedicated,68,69,"Chattanooga, TN"
SXCHOLD,Sioux City Hold Room,IA,Hold / Staging,27,197,"Sioux City, IA"
SIOUXIA,Sioux County Jail,IA,Federal,203,210,"Orange City, IA"
SFDHOLD,Sioux Falls Hold Room,SD,Hold / Staging,17,210,"Sioux Falls, SD"
SITKAAK,"Sitka City Jail, Sitka AK",AK,Non-dedicated,1,87,"Sitka, AK"
SLINPAZ,Sleep Inn Phoenix,AZ,Hotel,150,154,"Phoenix, AZ"
SISAONE,Sleep Inn Suites Airport,NE,Hotel,128,132,"Omaha, NE"
SRJDFID,Snake River Juvenile,ID,Family / Youth,1,131,"Twin Falls, ID"
SOLONOH,Solon City Jail,OH,Non-dedicated,0,59,"Solon, OH"
SOMERME,Somerset County Jail,ME,Non-dedicated,0,166,"Madison, ME"
SMRVLTX,Somervell County Sheriff's Dept.,TX,Other / Unknown,170,207,"Glen Rose, TX"
SONMACA,Sonoma Co Main Adult Det,CA,Other / Unknown,94,95,"Santa Rosa, CA"
SOBAYCA,South Bay Detent Facility,CA,Non-dedicated,15,180,"Chula Vista, CA"
WVSCENT,South Central Regional Jail,WV,Federal,0,210,"Charleston, WV"
SPIPDTX,South Padre Island Police Dept.,TX,Other / Unknown,125,126,"South Padre Island, TX"
SSHSWMA,South Shore Hospital,MA,Medical,182,185,"South Weymouth, MA"
STFRCTX,South Texas Fam Residential Center,TX,Family / Youth,74,210,"Dilley, TX"
STCDFTX,South Texas ICE Processing Center,TX,Dedicated,0,210,"Pearsall, TX"
STDHOLD,South Texas/Pearsall Hold Room,TX,Hold / Staging,29,210,"Pearsall, TX"
WVSOUTH,Southern Regional Jail,WV,Non-dedicated,207,209,"Beaver, WV"
SOUTECO,Southern Ute Detention Center,CO,Non-dedicated,0,15,"Ignacio, CO"
SSHNHNY,Southside Hosp Northwell Hlth,NY,Medical,200,201,"Bay Shore, NY"
WVSWEST,Southwestern Regional Jail,WV,Non-dedicated,207,209,"Holden, WV"
SPOHOLD,Spokane Hold Room,WA,Hold / Staging,150,210,"Spokane, WA"
SPOTSVA,Spotsylvania Reg Med Ctr,VA,Medical,183,193,"Fredericksburg, VA"
SPRHONY,Spring Valley Hospital,NY,Medical,196,199,NY
SPRNGOR,Springfield City Jail,OR,Non-dedicated,48,117,"Springfield, OR"
SPGHOLD,Springfield Dro Hold,MO,Hold / Staging,24,210,"Strafford, MO"
BOPSPG,Springfield Fed.Med.Cntr,MO,Federal,0,202,"Springfield, MO"
STCHRLA,St Charles Parish Jail,LA,Non-dedicated,202,209,"Killona, LA"
STELHOH,St Elizabeth Youngstown Hospital,OH,Medical,200,204,"Youngstown, OH"
STFRHGA,St Francis Hospital,GA,Medical,193,194,"Columbus, GA"
STJHCCA,St John's Hospital Camarillo,CA,Medical,202,203,"Camarillo, CA"
STJMCWA,St Joseph Medical Center,WA,Medical,183,204,"Tacoma, WA"
STLAWNY,St Lawrence County Jail,NY,Non-dedicated,59,60,"Canton, NY"
SLBHSTX,St Luke's Baptist Hospital,TX,Medical,174,176,"San Antonio, TX"
SLHTWTX,St Luke's Health - The Woodlands,TX,Medical,183,202,"The Woodlands, TX"
STMARCA,St Mary Medical Center,CA,Medical,69,204,"Apple Valley, CA"
STMARAZ,St Mary's Hospital,AZ,Medical,55,202,"Tucson, AZ"
STTCJVI,St T Criminal Just Complx,VI,Non-dedicated,0,179,"Charlotte Amalie, VI"
STTAMLA,St Tammany Parish Jail,LA,Non-dedicated,42,183,"Covington, LA"
STCLAMI,St. Clair County Jail,MI,Non-dedicated,0,210,"Port Huron, MI"
STCROWI,St. Croix County Jail,WI,Non-dedicated,37,38,"Hudson, WI"
SGUHOLD,"St. George, UT Holdroom",UT,Hold / Staging,32,209,"Saint George, UT"
STJONFL,St. John's County Jail,FL,Other / Unknown,166,208,"St. Augustine, FL"
STJOSCA,St. Joseph's Hospital,CA,Medical,1,165,"Orange, CA"
STJOSAZ,St. Joseph's Hospital & Med. Cen.,AZ,Medical,10,203,"Phoenix, AZ"
STLHOLD,St. Louis Holdroom,MO,Hold / Staging,24,210,"St. Louis, MO"
STLUCFL,St. Lucie County Jail,FL,Non-dedicated,200,210,"Fort Pierce, FL"
STMRYIL,St. Mary of The Nazareth,IL,Medical,0,34,"Chicago, IL"
SMARYMD,St. Mary's Co Det Cntr,MD,Non-dedicated,0,204,"Leonardtown, MD"
SSPBAAZ,Staybridge Ste Pho  B A ,AZ,Hotel,142,157,"Phoenix, AZ"
STGENMO,Ste. Genevieve County Sheriff/Jail,MO,Federal,197,210,"Ste. Genevieve, MO"
ALESSAZ,Stes On Scottsdale Casa De Alegria,AZ,Family / Youth,151,159,"Scottsdale, AZ"
STEUBNY,Steuben County Jail,NY,Non-dedicated,0,70,"Bath, NY"
STEVEWA,Stevens County Jail,WA,Non-dedicated,2,116,"Colville, WA"
STWRTGA,Stewart Detention Center,GA,Dedicated,0,210,"Lumpkin, GA"
STK,Stockton Staging Facility,CA,Hold / Staging,7,210,"Stockton, CA"
STOPDIL,Stone Park Police Dept.,IL,Non-dedicated,6,23,"Stone Park, IL"
STORYIA,Story County Jail,IA,Federal,106,146,"Nevada, IA"
STRAFNH,Strafford Co Dept Of Corr,NH,Non-dedicated,0,210,"Dover, NH"
STRMONY,Strong Memorial Hospital,NY,Medical,190,202,"Rochester, NY"
STUHOLD,Stuart Hold Room,FL,Hold / Staging,89,210,"Stuart, FL"
STUTSND,"Stutsman Co. Jail, ND",ND,Non-dedicated,40,49,"Jamestown, ND"
SUFFONY,Suffolk Co.Correc Fac,NY,Federal,108,204,"Riverhead, NY"
SUFFOMA,Suffolk Hoc Sbay,MA,Non-dedicated,0,137,"Boston, MA"
SHMCHNV,Summerlin Hospital Medical Center,NV,Medical,201,203,"Las Vegas, NV"
SUMMIUT,Summit County Jail,UT,Non-dedicated,0,203,"Park City, UT"
SUMTEFL,Sumter County Jail,FL,Other / Unknown,195,203,"Bushnell, FL"
SUNNYWA,Sunnyside Jail,WA,Non-dedicated,0,119,"Sunnyside, WA"
SNTRHNY,Sunrise Hospital,NY,Medical,198,202,NY
SUPHDTX,Super 8 By Wyndham,TX,Hotel,150,154,"Hidalgo, TX"
SP8WWTX,Super 8 Wyndham Weslaco,TX,Hotel,150,152,"Weslaco, TX"
SSHBWTX,Surestay Hotel Best West,TX,Hotel,142,151,"Mission, TX"
SUSSEDE,"Sussex Co Pris,Geotwn,DE",DE,Non-dedicated,40,46,"Georgetown, DE"
SUSSENJ,Sussex County Jail,NJ,Non-dedicated,0,124,"Newton, NJ"
SUTMCCA,Sutter Med Ctr Sacramento,CA,Medical,201,202,"Sacramento, CA"
SUWANFL,Suwannee County Jail,FL,Other / Unknown,159,200,"Live Oak, FL"
SWEETWY,Sweetwater County Jail,WY,Federal,0,210,"Rock Springs, WY"
SYRHOLD,Syracuse Hold Room,NY,Hold / Staging,195,210,"N Syracuse, NY"
CCAHUTX,T Don Hutto Residential Center,TX,Dedicated,0,210,"Taylor, TX"
THPMCTX,THOP Memorial Campus ELP,TX,Medical,201,202,"El Paso, TX"
THPSCTX,THOP Sierra Campus Elp,TX,Medical,134,204,"El Paso, TX"
THHEBTX,TX Health Meth Hosp Heb,TX,Medical,142,200,"Bedford, TX"
